state,election,year,D,R,T
Pennsylvania 14,House,2012,Mike Doyle,Hans Lessmann,
Pennsylvania 15,House,2012,Rick Daugherty,Charlie Dent,
Pennsylvania 16,House,2012,Aryanna Strader,Joe Pitts,"John Murphy,James Bednarski"
Pennsylvania 17,House,2012,Matt Cartwright,Laureen Cummings,
Pennsylvania 18,House,2012,Larry Maggi,Tim Murphy,
Rhode Island 1,House,2012,David Cicilline,Brendan Doherty,David Vogel
Rhode Island 2,House,2012,Jim Langevin,Michael Riley,Abel Collins
South Carolina 1,House,2012,Bobbie Rose,Tim Scott,Working Families
South Carolina 2,House,2012,,Joe Wilson,
South Carolina 3,House,2012,Brian Doyle,Jeff Duncan,
South Carolina 4,House,2012,Deb Morrow,Trey Gowdy,Working Families
South Carolina 5,House,2012,Joyce Knott,Mick Mulvaney,
South Carolina 6,House,2012,Jim Clyburn,,Nammu Muhammad
South Carolina 7,House,2012,Gloria Bromell Tinubu,Tom Rice,
South Dakota 1,House,2012,Matt Varilek,Kristi Noem,
Tennessee 1,House,2012,Alan Woodruff,Phil Roe,Karen Brackett
Tennessee 2,House,2012,Troy Goodale,Jimmy Duncan,"Greg Samples,Paul Coker,Brandon Stewart"
Tennessee 3,House,2012,Mary Headrick,Chuck Fleischmann,Matthew Deniston
Tennessee 4,House,2012,Eric Stewart,Scott DesJarlais,
Tennessee 5,House,2012,Jim Cooper,Brad Staats,John Miglietta
Tennessee 6,House,2012,,Diane Black,"Robert Beasley,Pat Riley"
Tennessee 7,House,2012,Credo Amouzouvik,Marsha Blackburn,"Howard Switzer,Jack Arnold,William Akin,Lenny Ladner"
Tennessee 8,House,2012,Timothy Dixon,Stephen Fincher,"James Hart,Mark Rawles"
Tennessee 9,House,2012,Steve Cohen,George Flinn,"Brian Saulsberry,Gregory Joiner"
Texas 1,House,2012,Shirley McKellar,Louie Gohmert,Clark Patterson
Texas 2,House,2012,Jim Dougherty,Ted Poe,"Kenneth Duncan,Mark Roberts"
Texas 3,House,2012,,Sam Johnson,
Texas 4,House,2012,VaLinda Hathcox,Ralph Hall,Thomas Griffing
Texas 5,House,2012,Linda Mrosko,Jeb Hensarling,Ken Ashby
Texas 6,House,2012,Kenneth Sanders,Joe Barton,"Hugh Chauvin,Brandon Parmer"
Texas 7,House,2012,James Cargas,John Culberson,"Drew Parks,Lance Findley"
Texas 8,House,2012,Neil Burns,Kevin Brady,Roy Hall
Texas 9,House,2012,Al Green,Steve Mueller,"Vanessa Foster,John Weider"
Texas 10,House,2012,Tawana Cadien,Michael McCaul,Richard Priest
Texas 11,House,2012,Jim Riley,Mike Conaway,Scott Ballard
Texas 12,House,2012,Dave Robinson,Kay Granger,Matthew Solodow
Texas 13,House,2012,,Mac Thornberry,"John Robert Deek,Keith Houston"
Texas 14,House,2012,Nick Lampson,Randy Weber,"Zach Grady,Rhett Rosenquest Smith"
Texas 15,House,2012,Ruben Hinojosa,Dale Brueggemann,"Ronald Finch,Benjamin Perez"
Texas 16,House,2012,Beto O'Rourke,Barbara Carrasco,Junart Sodoy
Texas 17,House,2012,,Bill Flores,Ben Easton
Texas 18,House,2012,Sheila Jackson Lee,Sean Seibert,Christopher Barber
Texas 19,House,2012,,Randy Neugebauer,Chip Peterson
Texas 20,House,2012,Joaqun Castro,David Rosa,"Tracy Potts,Antonio Diaz"
Texas 21,House,2012,Candace Duval,Lamar Smith,"John-Henry Liberty,Bill Stout"
Texas 22,House,2012,Kesha Rogers,Pete Olson,"Steve Susman,Don Cook"
Texas 23,House,2012,Pete Gallego,Quico Canseco,"Jeffrey Blunt,Ed Scharf"
Texas 24,House,2012,Tim Rusk,Kenny Marchant,John Stathas
Texas 25,House,2012,Elaine Henderson,Roger Williams,"Betsy Dewey,Roger Quannah Settler"
Texas 26,House,2012,David Sanchez,Michael Burgess,Mark Boler
Texas 27,House,2012,Rose Meza Harrison,Blake Farenthold,"William Bret Baldwin,Corrie Byrd"
Texas 28,House,2012,Henry Cuellar,William Hayward,"Patrick Hisel,Michael Cary"
Texas 29,House,2012,Gene Green,,"James Stanczack,Maria Selva"
Texas 30,House,2012,Eddie Bernice Johnson,Travis Washington,Ed Rankin
Texas 31,House,2012,Stephen Wyman,John Carter,Ethan Garofolo
Texas 32,House,2012,Katherine Savers McGovern,Pete Sessions,Seth Hollist
Texas 33,House,2012,Marc Veasey,Chuck Bradley,Ed Lindsay
Texas 34,House,2012,Filemon Vela,Jessica Puente Bradshaw,Steven Shanklin
Texas 35,House,2012,Lloyd Doggett,Susan Narvaiz,"Ross Lynn Leone,Meghan Owen"
Texas 36,House,2012,Max Martin,Steve Stockman,Michael Cole
Utah 1,House,2012,Donna McAleer,Rob Bishop,Sherry Phipps
Utah 2,House,2012,Jay Seegmiller,Chris Stewart,"Jonathan Garrard,Joe Andrade,Charles Kimball"
Utah 3,House,2012,Soren Simonsen,Jason Chaffetz,
Utah 4,House,2012,Jim Matheson,Mia Love,Jim Vein
Vermont 1,House,2012,Peter Welch,Mark Donka,"James Desrochers,Jane Newton,Andre LaFramboise"
Virginia 1,House,2012,Adam Cook,Rob Wittman,Gail Parker
Virginia 2,House,2012,Paul Hirschbiel,Scott Rigell,
Virginia 3,House,2012,Bobby Scott,Dean Longo,
Virginia 4,House,2012,Ella Ward,Randy Forbes,
Virginia 5,House,2012,John Douglass,Robert Hurt,Kenneth Hildebrant
Virginia 6,House,2012,Andy Schmookler,Bob Goodlatte,
Virginia 7,House,2012,Wayne Powell,Eric Cantor,
Virginia 8,House,2012,Jim Moran,Jay Patrick Murray,"Jason Howell,Janet Murphy"
Virginia 9,House,2012,Anthony Flaccavento,Morgan Griffith,
Virginia 10,House,2012,Kristin Cabral,Frank Wolf,
Virginia 11,House,2012,Gerry Connolly,Chris Perkins,"Mark Gibson,Chris DeCarlo,Joe Galdo,Peter Marchetti"
Washington 1,House,2012,Suzan DelBene,John Koster,
Washington 2,House,2012,Rick Larsen,Dan Matthews,
Washington 3,House,2012,Jon Haugen,Jaime Herrera Beutler,
Washington 4,House,2012,Mary Baechler,Doc Hastings,
Washington 5,House,2012,Rich Cowan,Cathy McMorris Rodgers,
Washington 6,House,2012,Derek Kilmer,Bill Driscoll,
Washington 7,House,2012,Jim McDermott,Ron Bemis,
Washington 8,House,2012,Karen Porterfeild,Dave Reichert,
Washington 9,House,2012,Adam Smith,James Postma,
Washington 10,House,2012,Denny Heck,Dick Muri,
West Virginia 1,House,2012,Sue Thorn,David McKinley,
West Virginia 2,House,2012,Howard Swint,Shelley Moore Capito,
West Virginia 3,House,2012,Nick Rahall,Rick Snuffer,
Wisconsin 1,House,2012,Rob Zerban,Paul Ryan,Keith Deschler
Wisconsin 2,House,2012,Mark Pocan,Chad Lee,Joe Kopsick
Wisconsin 3,House,2012,Ron Kind,Ray Boland,
Wisconsin 4,House,2012,Gwen Moore,Dan Sebring,Robert Raymond
Wisconsin 5,House,2012,Dave Heaster,Jim Sensenbrenner,
Wisconsin 6,House,2012,Joe Kallas,Tom Petri,
Wisconsin 7,House,2012,Pat Kreitlow,Sean Duffy,Dale Lehner
Wisconsin 8,House,2012,Jamie Wall,Reid Ribble,
Wyoming 1,House,2012,Chris Henrichsen,Cynthia Lummis,"Richard Brubaker,Daniel Cummings,Don Wills"
Florida 13,House,2014,Alex Sink,David Jolly,Lucas Overby
Florida 19,House,2014,April Freeman,Curt Clawson,Ray Netherwood
New Jersey 1,House,2014,Donald Norcross,Garry Cobb,"Scot John Tomaszewski,Margaret Chapman,Robert Shapiro,Mike Berman,Donald Letton"
North Carolina 12,House,2014,Alma Adams,Vince Coakley,
Virginia 7,House,2014,Jack Trammell,Dave Brat,
Alabama 1,House,2014,Burton LeFlore,Bradley Byrne,
Alabama 2,House,2014,Erick Wright,Martha Roby,
Alabama 3,House,2014,Jesse Smith,Mike Rogers,
Alabama 4,House,2014,,Robert Aderholt,
Alabama 5,House,2014,,Mo Brooks,Mark Bray
Alabama 6,House,2014,Mark Lester,Gary Palmer,Aimee Love
Alabama 7,House,2014,Terri Sewell,,
Alaska 1,House,2014,Forrest Dunbar,Don Young,Jim McDermott
Arizona 1,House,2014,Ann Kirkpatrick,Andy Tobin,
Arizona 2,House,2014,Ron Barber,Martha McSally,
Arizona 3,House,2014,Raul Grijalva,Gabriela Saucedo Mercer,
Arizona 4,House,2014,Mike Weisser,Paul Gosar,Chris Rike
Arizona 5,House,2014,James Woods,Matt Salmon,
Arizona 6,House,2014,John Williamson,David Schweikert,
Arizona 7,House,2014,Ruben Gallego,,"Joe Cobb,Rebecca DeWitt,Jose Penalosa"
Arizona 8,House,2014,,Trent Franks,Stephen Dolgos
Arizona 9,House,2014,Kyrsten Sinema,Wendy Rogers,Powell Gammill
Arkansas 1,House,2014,Jackie McPherson,Rick Crawford,Brian Willhite
Arkansas 2,House,2014,Pat Hays,French Hill,Debbie Standiford
Arkansas 3,House,2014,,Steve Womack,Grant Brand
Arkansas 4,House,2014,James Lee Witt,Bruce Westerman,Ken Hamilton
California 1,House,2014,Heidi Hall,Doug LaMalfa,
California 2,House,2014,Jared Huffman,Dale Mensing,
California 3,House,2014,John Garamendi,Dan Logue,
California 4,House,2014,,"Tom McClintock,Art Moore",
California 5,House,2014,Mike Thompson,,James Hinton
California 6,House,2014,Doris Matsui,Joseph McCray,
California 7,House,2014,Ami Bera,Doug Ose,
California 8,House,2014,Bob Conaway,Paul Cook,
California 9,House,2014,Jerry McNerney,Tony Amador,
California 10,House,2014,Michael Eggman,Jeff Denham,
California 11,House,2014,Mark DeSaulnier,Tue Phan,
California 12,House,2014,Nancy Pelosi,John Dennis,
California 13,House,2014,Barbara Lee,Dakin Sundeen,
California 14,House,2014,Jackie Speier,Robin Chew,
California 15,House,2014,Eric Swalwell,Hugh Bussell,
California 16,House,2014,Jim Costa,Johnny Tacherra,
California 17,House,2014,"Mike Honda,Ro Khanna",,
California 18,House,2014,Anna Eshoo,Richard Fox,
California 19,House,2014,"Zoe Lofgren,Robert Murray",,
California 20,House,2014,Sam Farr,,Ronald Kabat
California 21,House,2014,Amanda Renteria,David Valadao,
California 22,House,2014,Sam Aguilera-Marrero,Devin Nunes,
California 23,House,2014,Raul Garcia,Kevin McCarthy,
California 24,House,2014,Lois Capps,Chris Mitchum,
California 25,House,2014,,"Steve Knight,Tony Strickland",
California 26,House,2014,Julia Brownley,Jeff Gorell,
California 27,House,2014,Judy Chu,Jack Orswell,
California 28,House,2014,Adam Schiff,,Steve Stokes
California 29,House,2014,Tony Cardenas,William Leader,
California 30,House,2014,Brad Sherman,Mark Reed,
California 31,House,2014,Pete Aguilar,Paul Chabot,
California 32,House,2014,Grace Napolitano,Arturo Alas,
California 33,House,2014,Ted Lieu,Elan Carr,
California 34,House,2014,"Xavier Becerra,Adrienne Edwards",,
California 35,House,2014,"Norma Torres,Christina Gagnier",,
California 36,House,2014,Raul Ruiz,Brian Nestande,
California 37,House,2014,Karen Bass,Adam King,
California 38,House,2014,Linda Sanchez,Benjamin Campos,
California 39,House,2014,Peter Anderson,Ed Royce,
California 40,House,2014,"Lucille Roybal-Allard,David Sanchez",,
California 41,House,2014,Mark Takano,Steve Adams,
California 42,House,2014,Tim Sheridan,Ken Calvert,
California 43,House,2014,Maxine Waters,John Wood,
California 44,House,2014,Janice Hahn,,Adam Shbeita
California 45,House,2014,Drew Leavens,Mimi Walters,
California 46,House,2014,Loretta Sanchez,Adam Nick,
California 47,House,2014,Alan Lowenthal,Andy Whallon,
California 48,House,2014,Suzanne Savary,Dana Rohrabacher,
California 49,House,2014,Dave Peiser,Darrell Issa,
California 50,House,2014,James Kimber,Duncan Hunter,
California 51,House,2014,Juan Vargas,Stephen Meade,
California 52,House,2014,Scott Peters,Carl DeMaio,
California 53,House,2014,Susan Davis,Larry Wilske,
Colorado 1,House,2014,Diana DeGette,Martin Walsh,Frank Atwood
Colorado 2,House,2014,Jared Polis,George Leing,
Colorado 3,House,2014,Abel Tapia,Scott Tipton,"Tisha Casida,Travis Mero"
Colorado 4,House,2014,Vic Meyers,Ken Buck,Jess Loban
Colorado 5,House,2014,Irv Halter,Doug Lamborn,
Colorado 6,House,2014,Andrew Romanoff,Mike Coffman,"Norm Olsen,Gary Swing"
Colorado 7,House,2014,Ed Perlmutter,Don Ytterberg,
Connecticut 1,House,2014,John Larson,Matthew Corey,Jeff Russell
Connecticut 2,House,2014,Joe Courtney,Lori Hopkins-Cavanagh,"Dan Reale,William Clyde"
Connecticut 3,House,2014,Rosa DeLauro,James Brown,
Connecticut 4,House,2014,Jim Himes,Dan Debicella,
Connecticut 5,House,2014,Elizabeth Esty,Mark Greenberg,John Pistone
Delaware 1,House,2014,John Carney,Rose Izzo,"Bernard August,Scott Gesty"
Florida 1,House,2014,Jim Bryan,Jeff Miller,Mark Wichern
Florida 2,House,2014,Gwen Graham,Steve Southerland,
Florida 3,House,2014,Marihelen Wheeler,Ted Yoho,Howard Term Limits Lawson
Florida 4,House,2014,,Ander Crenshaw,"Paula Moser-Bartlett,Gary Koniz"
Florida 5,House,2014,Corrine Brown,Glo Scurry-Smith,
Florida 6,House,2014,David Cox,Ron DeSantis,
Florida 7,House,2014,Wes Neuman,John Mica,Al Krulick
Florida 8,House,2014,Gabriel Rothblatt,Bill Posey,
Florida 9,House,2014,Alan Grayson,Carol Platt,Marko Milakovich
Florida 10,House,2014,Michael McKenna,Dan Webster,
Florida 11,House,2014,Dave Koller,Rich Nugent,
Florida 12,House,2014,,Gus Bilirakis,
Florida 13,House,2014,,David Jolly,Lucas Overby
Florida 14,House,2014,Kathy Castor,,
Florida 15,House,2014,Alan Cohn,Dennis Ross,
Florida 16,House,2014,Henry Lawrence,Vern Buchanan,
Florida 17,House,2014,Will Bronson,Tom Rooney,
Florida 18,House,2014,Patrick Murphy,Carl Domino,
Florida 19,House,2014,April Freeman,Curt Clawson,Ray Netherwood
Florida 20,House,2014,Alcee Hastings,Jay Bonner,
Florida 21,House,2014,Ted Deutch,,
Florida 22,House,2014,Lois Frankel,Paul Spain,
Florida 23,House,2014,Debbie Wasserman Schultz,Joe Kaufman,
Florida 24,House,2014,Frederica Wilson,Dufirstson Neree,Luis Fernandez
Florida 25,House,2014,,Mario Diaz-Balart,
Florida 26,House,2014,Joe Garcia,Carlos Curbelo,
Florida 27,House,2014,,Ileana Ros-Lehtinen,
Georgia 1,House,2014,Brian Reese,Buddy Carter,
Georgia 2,House,2014,Sanford Bishop,Greg Duke,
Georgia 3,House,2014,,Lynn Westmoreland,
Georgia 4,House,2014,Hank Johnson,,
Georgia 5,House,2014,John Lewis,,
Georgia 6,House,2014,Bob Montigel,Tom Price,
Georgia 7,House,2014,Thomas Wight,Rob Woodall,
Georgia 8,House,2014,,Austin Scott,
Georgia 9,House,2014,David Vogel,Doug Collins,
Georgia 10,House,2014,Ken Dious,Jody Hice,
Georgia 11,House,2014,,Barry Loudermilk,
Georgia 12,House,2014,John Barrow,Rick Allen,
Georgia 13,House,2014,David Scott,,
Georgia 14,House,2014,,Tom Graves,
Hawaii 1,House,2014,Mark Takai,Charles Djou,
Hawaii 2,House,2014,Tulsi Gabbard,Kawika Crowley,Joe Kent
Idaho 1,House,2014,Shirley Ringo,Raul Labrador,
Idaho 2,House,2014,Richard Stallings,Mike Simpson,
Illinois 1,House,2014,Bobby Rush,Jimmy Lee Tillman,
Illinois 2,House,2014,Robin Kelly,Eric Wallace,
Illinois 3,House,2014,Dan Lipinski,Sharon Brannigan,
Illinois 4,House,2014,Luis Gutierrez,Hector Concepcion,
Illinois 5,House,2014,Mike Quigley,Vince Kolber,Nancy Wade
Illinois 6,House,2014,Michael Mason,Peter Roskam,
Illinois 7,House,2014,Danny Davis,Robert Bumpers,
Illinois 8,House,2014,Tammy Duckworth,Larry Kaifesh,
Illinois 9,House,2014,Jan Schakowsky,Susanne Atanus,
Illinois 10,House,2014,Brad Schneider,Bob Dold,
Illinois 11,House,2014,Bill Foster,Darlene Senger,
Illinois 12,House,2014,Bill Enyart,Mike Bost,
Illinois 13,House,2014,Ann Callis,Rodney Davis,
Illinois 14,House,2014,Dennis Anderson,Randy Hultgren,
Illinois 15,House,2014,Eric Thorsland,John Shimkus,
Illinois 16,House,2014,Randall Olsen,Adam Kinzinger,
Illinois 17,House,2014,Cheri Bustos,Bobby Schilling,
Illinois 18,House,2014,Darrel Miller,Aaron Schock,
Indiana 1,House,2014,Pete Visclosky,Mark Leyva,Donna Dunn
Indiana 2,House,2014,Joe Bock,Jackie Walorski,Jeff Petermann
Indiana 3,House,2014,Justin Kuhnle,Marlin Stutzman,Scott Wise
Indiana 4,House,2014,John Dale,Todd Rokita,
Indiana 5,House,2014,Shawn Denney,Susan Brooks,John Krom
Indiana 6,House,2014,Susan Hall Heitzman,Luke Messer,Eric Miller
Indiana 7,House,2014,Andre Carson,Catherine Ping,Chris Mayo
Indiana 8,House,2014,Tom Spangler,Larry Bucshon,Andrew Horning
Indiana 9,House,2014,Bill Bailey,Todd Young,Mike Frey
Iowa 1,House,2014,Pat Murphy,Rod Blum,
Iowa 2,House,2014,Dave Loebsack,Mariannette Miller-Meeks,
Iowa 3,House,2014,Staci Appel,David Young,"Edward Wright,Bryan Jack Holder"
Iowa 4,House,2014,Jim Mowrer,Steve King,
Kansas 1,House,2014,Jim Sherow,Tim Huelskamp,
Kansas 2,House,2014,Margie Wakefield,Lynn Jenkins,Chris Clemmons
Kansas 3,House,2014,Kelly Kultala,Kevin Yoder,
Kansas 4,House,2014,Perry Schuckman,Mike Pompeo,
Kentucky 1,House,2014,Charles Hatchett,Ed Whitfield,
Kentucky 2,House,2014,Ron Leach,Brett Guthrie,
Kentucky 3,House,2014,John Yarmuth,Michael Macfarlane,Gregory Puccetti
Kentucky 4,House,2014,Peter Newberry,Thomas Massie,
Kentucky 5,House,2014,Kenneth Stepp,Hal Rogers,
Kentucky 6,House,2014,Elisabeth Jensen,Andy Barr,
Louisiana 1,House,2014,"Vinny Mendoza,Lee Dugas",Steve Scalise,Jeff Sanford
Louisiana 2,House,2014,"Cedric Richmond,Gary Landrieu",,"David Brooks,Samuel Davenport"
Louisiana 3,House,2014,,"Charles Boustany,Bryan Barrilleaux",Russell Richard
Louisiana 4,House,2014,,John Fleming,Randall Lord
Louisiana 5,House,2014,Jamie Mayo,Ralph Abraham,
Louisiana 6,House,2014,Edwin Edwards,Garret Graves,
Maine 1,House,2014,Chellie Pingree,Isaac Misiuk,Richard Murphy
Maine 2,House,2014,Emily Cain,Bruce Poliquin,Blaine Richardson
Maryland 1,House,2014,Bill Tilghman,Andy Harris,
Maryland 2,House,2014,Dutch Ruppersberger,Dave Banach,Ian Schlakman
Maryland 3,House,2014,John Sarbanes,Charles Long,
Maryland 4,House,2014,Donna Edwards,Nancy Hoyt,Arvin Vohra
Maryland 5,House,2014,Steny Hoyer,Chris Chaffee,
Maryland 6,House,2014,John Delaney,Daniel Bongino,George Gluck
Maryland 7,House,2014,Elijah Cummings,Corrogan Vaughn,Scott Soffen
Maryland 8,House,2014,Chris Van Hollen,David Wallace,
Massachusetts 1,House,2014,Richard Neal,,
Massachusetts 2,House,2014,Jim McGovern,,
Massachusetts 3,House,2014,Niki Tsongas,Roseann Wofford,
Massachusetts 4,House,2014,Joe Kennedy,,
Massachusetts 5,House,2014,Katherine Clark,,
Massachusetts 6,House,2014,Seth Moulton,Richard Tisei,Chris Stockwell
Massachusetts 7,House,2014,Mike Capuano,,
Massachusetts 8,House,2014,Stephen Lynch,,
Massachusetts 9,House,2014,Bill Keating,John Chapman,
Michigan 1,House,2014,Jerry Cannon,Dan Benishek,"Loel Gnadt,Ellis Boal"
Michigan 2,House,2014,Dean Vanderstelt,Bill Huizenga,"Ronald Welch,Ron Graeser"
Michigan 3,House,2014,Bob Goodrich,Justin Amash,Tonya Duncan
Michigan 4,House,2014,Jeff Holmes,John Moolenaar,"George Zimmer,Will White"
Michigan 5,House,2014,Dan Kildee,Allen Hardwick,Harold Jones
Michigan 6,House,2014,Paul Clements,Fred Upton,"Erwin Haas,John Lawrence"
Michigan 7,House,2014,Pam Byrnes,Tim Walberg,"Ken Proctor,David Swartout,Rick Strawcutter"
Michigan 8,House,2014,Eric Schertzing,Mike Bishop,"James Weeks,Jim Casha,Jeremy Burgess"
Michigan 9,House,2014,Sander Levin,George Brikho,"Gregory Creswell,John McDermott"
Michigan 10,House,2014,Chuck Stadler,Candice Miller,Harley Mikkelson
Michigan 11,House,2014,Bobby McKenzie,David Trott,John Tatar
Michigan 12,House,2014,Debbie Dingell,Terry Bowman,"Gary Walkowicz,Bhagwan Dashairya"
Michigan 13,House,2014,John Conyers,Jeff Gorman,"Chris Sharer,Sam Johnson"
Michigan 14,House,2014,Brenda Lawrence,Christina Barr,"Leonard Schwartz,Stephen Boyle"
Minnesota 1,House,2014,Tim Walz,Jim Hagedorn,
Minnesota 2,House,2014,Mike Obermueller,John Kline,Paula Overby
Minnesota 3,House,2014,Sharon Sund,Erik Paulsen,
Minnesota 4,House,2014,Betty McCollum,Sharna Wahlgren,Dave Thomas
Minnesota 5,House,2014,Keith Ellison,Doug Daggett,Lee Bauer
Minnesota 6,House,2014,Joe Perske,Tom Emmer,John Denney
Minnesota 7,House,2014,Collin Peterson,Torrey Westrom,
Minnesota 8,House,2014,Rick Nolan,Stewart Mills,Skip Sandman
Mississippi 1,House,2014,Ron Dickey,Alan Nunnelee,"Danny Bedwell,Lajena Walley"
Mississippi 2,House,2014,Bennie Thompson,,"Troy Ray,Shelley Shoemake"
Mississippi 3,House,2014,Doug Magee,Gregg Harper,"Roger Gerrard,Barbara Dale Washer"
Mississippi 4,House,2014,Matt Moore,Steven Palazzo,"Cindy Burleson,Joey Robinson,Eli Jackson,Ed Reich"
Missouri 1,House,2014,Lacy Clay,Daniel Elder,Robb Cunningham
Missouri 2,House,2014,Arthur Lieber,Ann Wagner,Bill Slantz
Missouri 3,House,2014,Courtney Denton,Blaine Luetkemeyer,Steven Hedrick
Missouri 4,House,2014,Nate Irvin,Vicky Hartzler,Herschel Young
Missouri 5,House,2014,Emanuel Cleaver,Jacob Turk,Roy Welborn
Missouri 6,House,2014,Bill Hedge,Sam Graves,Russ Monchil
Missouri 7,House,2014,Jim Evans,Billy Long,Kevin Craig
Missouri 8,House,2014,Barbara Stocker,Jason Smith,"Terry Hampton,Doug Enyart,Rick Vandeven"
Montana 1,House,2014,John Lewis,Ryan Zinke,Mike Fellows
Nebraska 1,House,2014,Dennis Crawford,Jeff Fortenberry,
Nebraska 2,House,2014,Brad Ashford,Lee Terry,Steven Laird
Nebraska 3,House,2014,Mark Sullivan,Adrian Smith,
Nevada 1,House,2014,Dina Titus,Annette Teijeiro,"Richard Charles,Kamau Bakari"
Nevada 2,House,2014,Kristen Spees,Mark Amodei,Janine Hansen
Nevada 3,House,2014,Erin Bilbray,Joe Heck,"David Goosen,Randy Kimmick,Steven St. John"
Nevada 4,House,2014,Steven Horsford,Cresent Hardy,"Steve Brown,Russell Best"
New Hampshire 1,House,2014,Carol Shea-Porter,Frank Guinta,
New Hampshire 2,House,2014,Ann McLane Kuster,Marilinda Garcia,
New Jersey 1,House,2014,Donald Norcross,Garry Cobb,"Scot John Tomaszewski,Margaret Chapman,Robert Shapiro,Mike Berman,Don Letton"
New Jersey 2,House,2014,Bill Hughes,Frank LoBiondo,"Alexander Spano,Constantino Rozzo,Bayo Olabisi,Gary Stein"
New Jersey 3,House,2014,Aimee Belgard,Tom MacArthur,Frederick John LaVergne
New Jersey 4,House,2014,Ruben Scolavino,Chris Smith,Scott Neuman
New Jersey 5,House,2014,Roy Cho,Scott Garrett,Mark Quick
New Jersey 6,House,2014,Frank Pallone,Anthony Wilkinson,Dorit Goikhman
New Jersey 7,House,2014,Janice Kovach,Leonard Lance,Jim Gawron
New Jersey 8,House,2014,Albio Sires,Jude-Anthony Tiscornia,"Herbert Shaw,Pablo Olivera,Robert Thorne"
New Jersey 9,House,2014,Bill Pascrell,Dierdre Paul,Nestor Montilla
New Jersey 10,House,2014,Donald Payne,Yolanda Dentley,"Gwendolyn Franklin,Dark Angel"
New Jersey 11,House,2014,Mark Dunec,Rodney Frelinghuysen,
New Jersey 12,House,2014,Bonnie Watson Coleman,Alieta Eck,"Don DeZarn,Steven Welzer,Ken Cody,Jack Freudenheim,Allen Cannon"
New Mexico 1,House,2014,Michelle Lujan Grisham,Mike Frese,
New Mexico 2,House,2014,Rocky Lara,Steve Pearce,
New Mexico 3,House,2014,Ben Ray Lujn,Jeff Byrd,
New York 1,House,2014,Tim Bishop,Lee Zeldin,
New York 2,House,2014,Pat Maher,Peter King,Will Stevenson
New York 3,House,2014,Steve Israel,Grant Lally,
New York 4,House,2014,Kathleen Rice,Bruce Blakeman,
New York 5,House,2014,Gregory Meeks,,Allen Steinhardt
New York 6,House,2014,Grace Meng,,
New York 7,House,2014,Nydia Velazquez,Jose Luis Fernandez,Allan Romaguera
New York 8,House,2014,Hakeem Jeffries,,Alan Ballone
New York 9,House,2014,Yvette Clarke,,Daniel Cavanaugh
New York 10,House,2014,Jerry Nadler,,"Ross Brady,Michael Dilger"
New York 11,House,2014,Domenic Recchia,Michael Grimm,Henry Bardel
New York 12,House,2014,Carolyn Maloney,Nick Di Iorio,
New York 13,House,2014,Charles Rangel,,Daniel Vila
New York 14,House,2014,Joe Crowley,,Elizabeth Perri
New York 15,House,2014,Jose Serrano,,"Eduardo Ramirez,Bill Edstrom"
New York 16,House,2014,Eliot Engel,,
New York 17,House,2014,Nita Lowey,Chris Day,
New York 18,House,2014,Sean Patrick Maloney,Nan Hayworth,Scott Smith
New York 19,House,2014,Sean Eldridge,Chris Gibson,
New York 20,House,2014,Paul Tonko,Jim Fischer,
New York 21,House,2014,Aaron Woolf,Elise Stefanik,Matt Funiciello
New York 22,House,2014,,Richard Hanna,
New York 23,House,2014,Martha Robertson,Tom Reed,
New York 24,House,2014,Dan Maffei,John Katko,
New York 25,House,2014,Louise Slaughter,Mark Assini,
New York 26,House,2014,Brian Higgins,Kathy Weppner,
New York 27,House,2014,Jim O'Donnell,Chris Collins,
North Carolina 1,House,2014,G.K. Butterfield,Arthur Rich,
North Carolina 2,House,2014,Clay Aiken,Renee Ellmers,
North Carolina 3,House,2014,Marshall Adame,Walter Jones,
North Carolina 4,House,2014,David Price,Paul Wright,
North Carolina 5,House,2014,Josh Brannon,Virginia Foxx,
North Carolina 6,House,2014,Laura Fjeld,Mark Walker,
North Carolina 7,House,2014,Jonathan Barfield,David Rouzer,Wesley Casteen
North Carolina 8,House,2014,Antonio Blue,Richard Hudson,
North Carolina 9,House,2014,,Robert Pittenger,Shawn Eckles
North Carolina 10,House,2014,Tate MacQueen,Patrick McHenry,
North Carolina 11,House,2014,Thomas Waddell Hill,Mark Meadows,
North Carolina 12,House,2014,Alma Adams,Vince Coakley,
North Carolina 13,House,2014,Brenda Cleary,George Holding,
North Dakota 1,House,2014,George Sinner,Kevin Cramer,Jack Seaman
Ohio 1,House,2014,Fred Kundrata,Steve Chabot,
Ohio 2,House,2014,Marek Tyszkiewicz,Brad Wenstrup,
Ohio 3,House,2014,Joyce Beatty,John Adams,
Ohio 4,House,2014,Janet Garrett,Jim Jordan,
Ohio 5,House,2014,Robert Fry,Bob Latta,Eric Eberly
Ohio 6,House,2014,Jennifer Garrison,Bill Johnson,Dennis Lambert
Ohio 7,House,2014,,Bob Gibbs,
Ohio 8,House,2014,Tom Poetter,John Boehner,Jim Condit
Ohio 9,House,2014,Marcy Kaptur,Richard May,
Ohio 10,House,2014,Robert Klepinger,Mike Turner,David Harlow
Ohio 11,House,2014,Marcia Fudge,Mark Zetzer,
Ohio 12,House,2014,David Tibbs,Pat Tiberi,Bob Hart
Ohio 13,House,2014,Tim Ryan,Thomas Pekarek,
